Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
100X.VC,VC,Shobana Prakash,Senior Associate at 100X.VC,https://www.100x.vc/,https://www.linkedin.com/in/shobana-prakash-30022a56/,https://twitter.com/100X_VC,50 Lakhs,"AI/ML, Fintech, HealthTech, Edtech, Mobility, Consumer, Media","Xylem.ai, shyft, pickright, Bugbase, 50fin","100X.VC stands as India's pioneering venture fund that employs iSAFE Notes for investments in early-stage startups. As a SEBI Registered CAT I AIF and Investment Adviser, it holds the distinction of being the first institutional investor in this realm. Beyond mere investment, 100X.VC assumes multiple roles for the startups it backs — acting as a coach, strategic consultant, investment banker, business mentor, and reliable advisor. Through this comprehensive approach, the firm collaborates closely with founders, aiding them in securing subsequent rounds of funding and guiding them toward sustainable growth. The average investment size of 100x.vc is around $60k."
3one4 cap,VC (Tier 3),Sonali Goel,Associate at 3one4 cap,https://www.3one4capital.com/,https://www.linkedin.com/in/goelsonali/,https://twitter.com/sonaligoel16,$6M - $10M,"Fintech, SaaS, HealthTech, Consumer","Ripplr, Ekacare, Hexa, Growfin, Everstage, Jupiter, Pazcare, Licious, Koo","3one4 Capital, headquartered in Bangalore, is an early-stage venture capital firm focused on funding promising market sectors poised for growth and innovation. With a portfolio of 21 companies across diverse industries such as enterprise automation, drone technologies, ed-tech, fin-tech, media, multi-lingual content generation, and high-margin niche retail, 3one4 Capital demonstrates its commitment to backing unique and transformative products and services. Their investment range spans from $300K to $5 million, allowing them to support startups at various stages of development. By identifying and investing in emerging sectors, 3one4 Capital plays a pivotal role in nurturing the next wave of innovative startups in India."
91springboard,VC,,at 91springboard,https://www.91springboard.com/,https://www.linkedin.com/company/91springboard/,https://twitter.com/91springboard,,"AI/ML, Fintech, HealthTech","Mate labs, Alma connect, Finly","91Springboard is a venture capital firm based out of Delhi that was founded in 2012. The firm invests in early-stage startups that are focused on the areas of AI and ML, commerce and shopping, and community and lifestyle. 91Springboard's investment philosophy is to partner with startups that have the potential to make a significant impact on their respective industries. The firm looks for startups that are led by strong teams with a clear vision for the future. 91Springboard also seeks out startups that are operating in markets with large addressable audiences. Some of the startups that 91Springboard has invested in include Almaconnect, Finly, Logicroots, and 4 other startups. These startups are all at different stages of development, but they all have the potential to disrupt their respective industries. 91Springboard is committed to helping startups succeed. The firm provides its portfolio companies with access to a wide range of resources and support, including capital, mentorship, and advice. 91Springboard also helps its portfolio companies connect with potential investors and partners."
Haptik Inc.,Angel Investor,Aakrit Vaish,CoFounder & CEO at Haptik Inc.,,https://www.linkedin.com/in/aakrit/,,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Media","TrulyMadly, Seekho, Pepper Content, GrowthSchool.","Aakrit Vaish, as the CoFounder and CEO of Haptik, played a pioneering role in the inception of conversational AI, leading the charge since 2013. Today, Haptik stands as one of the globe's most prominent entities in this field, maintaining a strong presence in New York, Los Angeles, Mumbai, Singapore, and catering to over 100 major enterprise clients including industry giants like KFC, Samsung, CocaCola, Oyo Rooms, Kotak Life, and Dream11. A watershed moment arrived in April 2019 when Reliance Industries acquired a majority shareholding in Haptik for $100 million, solidifying its status as one of the world's most valuable AI companies. Aakrit's strategic vision has been instrumental in driving Haptik's ascent to global prominence. Beyond Haptik, Aakrit's influence extends into the startup ecosystem. As an investor, he has actively backed ventures in the domains of consumer technology and B2B SaaS. His portfolio includes noteworthy investments such as Unacademy (valued at over $200 million), Third Wave Coffee, Dataweave, Haikujam (backed by Lightbox), Flatchat (acquired by Commonfloor in 2014), Tookitaki, Dil Mil, Ayopop, iON Energy, and Talent Litmus, among others."
Aavishkaar group,VC (Tier 2),Sanskriti Kapoor,Senior Associate at Aavishkaar group,https://aavishkaarcapital.in/,https://www.linkedin.com/in/sanskritikapoor30/,,$6M - $10M,"Fintech, Edtech, SaaS, Mobility, Consumer","chqbook, Financepeer, GoBolt, Agrostar, Moofarm","Aavishkaar is an impact investment firm that started in 2001, with a focus on investing in sustainable enterprises that drive development impact for underserved communities globally. Initially centered in India, Aavishkaar has expanded its operations to South and Southeast Asia, leveraging the lessons learned from its investments."
Hav.,Angel Investor,Abdul Paravengal,Co-founder & CEO at Hav.,,https://www.linkedin.com/in/abdulgafoorme/?originalSubdomain=id,,,"SaaS, Mobility, Consumer","Crib, Prodo, Settl.","Abdul Paravengal is an Angel Investor from Indonesia. Prominent investment areas are Manufacturing, Real Estate, Commerce and Shopping and has invested in startups like Crib, Settl., & Prodo."
Tracxn,Angel Investor,Abhishek Goyal,Founder at Tracxn,,https://www.linkedin.com/in/abhishekgoyal/,,,"Fintech, HealthTech, Edtech, SaaS, Consumer, Media, Agritech","Gokwik, Vahak, Bobble AI, Eka care .","Abhishek Goyal is a prominent figure in the entrepreneurial and investment landscape, known for his roles as the Co-Founder of Tracxn and the Founder & CEO of UrbanTouch.com. Before embarking on his entrepreneurial journey, he honed his skills and expertise as an Associate at the prestigious venture capital firm, Accel Partners. Tracxn, the venture co-founded by Abhishek Goyal, is dedicated to building the largest and most comprehensive platform for tracking innovative startups, private companies, and emerging sectors on a global scale. With a mission to provide valuable insights to investors and Global 2000 Corporates, Tracxn diligently monitors thousands of signals from millions of companies. This vast and detailed data repository empowers investors and corporates to effortlessly explore and stay updated on sectors of their interest. At UrbanTouch.com, another venture founded by Abhishek Goyal, he demonstrated his entrepreneurial vision and leadership by establishing a successful online platform. The company played a significant role in the e-commerce landscape, offering a wide range of products and services to customers. Abhishek's journey as an entrepreneur and investor reflects his deep passion for technology, innovation, and identifying opportunities for growth. His experiences at both Tracxn and UrbanTouch.com have contributed to his expertise in tracking and understanding the dynamics of startups, private companies, and emerging sectors. Through his endeavors, Abhishek Goyal continues to leave a lasting impact on the tech industry, empowering investors and corporates with invaluable insights to make informed decisions in an ever-evolving business landscape."
Lightspeed India,Angel Investor,Abhishek Nag,Parter at Lightspeed India,,https://www.linkedin.com/in/abhisheknag/,,,"Fintech, HealthTech, Edtech","Growthschool, Stockgro, Onsurity","Hailing from Mumbai, Abhishek Nag is a distinguished Angel Investor with a reputation for making strategic investments that drive innovation and growth. His investment focus spans diverse sectors, notably Apps, Professional Services, and Health-Tech. Abhishek has played a pivotal role in supporting startups that align with his vision for advancement, fostering their progress in the competitive market landscape. Notable among his investments are ventures such as Evenflow, Growthschool, Flint, and an impressive array of eight additional pioneering enterprises. Abhishek Nag's investment decisions reflect his insightful understanding of emerging trends and his dedication to fostering transformative ideas. His investments extend beyond financial backing, representing a catalyst for startups to flourish and achieve their goals. Abhishek's role as an Angel Investor extends beyond monetary support; his network, knowledge, and strategic guidance contribute significantly to the development of the startups he supports. As an influential figure in the Mumbai startup ecosystem, Abhishek Nag has demonstrated a deep commitment to driving positive change and nurturing entrepreneurship. His involvement in sectors such as Apps, Professional Services, and Health-Tech highlights his dedication to advancing sectors that have a profound impact on modern lifestyles, businesses, and healthcare."
Indus Net Technologies,Angel Investor,Abhishek Rungta,Founder & CEO at Indus Net Technologies,,https://www.linkedin.com/in/abhishekrungta/?originalSubdomain=in,https://twitter.com/abhishekrungta,$1M - $3M,"Fintech, SaaS","Insuremile, Gallabox, Bookee","Abhishek Rungta is a highly accomplished entrepreneur and digital strategist with a wide range of expertise. As the founder of Indus Net Technologies, a globally recognized digital innovation venture, he has successfully led a team of 750+ professionals serving over 200 clients across five continents. With a strong focus on integrated digital strategies, Abhishek advises enterprises across various industries, prioritizing impactful initiatives and employing data-driven marketing and analytics. In addition to his professional achievements, he is an active angel investor, providing guidance and support to startups. Abhishek's diverse skills, entrepreneurial success, and dedication to innovation make him a notable figure in the business world."
Fashinza,Angel Investor,Abhishek Sharma,Founder at Fashinza,,https://www.linkedin.com/in/abhishekksharma/,,,"SaaS, Consumer, Agritech","Magma, Wishlink, Anar, Produze","Abhishek Sharma emerges as a notable Angel Investor hailing from the United Arab Emirates, marked by his strategic investments that drive innovation and transformation. With a keen eye for potential, Abhishek's investment interests span a diverse array of sectors, including Apps, Media and Entertainment, and Others. His contributions to the startup landscape have been instrumental in supporting pioneering ventures that align with his vision for progress. Among his notable investments are Wishlink, Magma, Produze, and an additional startup. Abhishek Sharma's investment decisions reflect not only his perceptive understanding of emerging market trends but also his commitment to nurturing the growth of startups. His investments extend beyond financial backing, as he brings to the table his experience, insights, and a valuable network that contributes significantly to the startups' development and success. Based in the dynamic business environment of the United Arab Emirates, Abhishek Sharma's role as an Angel Investor underscores his dedication to fostering entrepreneurship and driving positive change. His involvement in sectors like Apps, Media and Entertainment, and Others highlights his dedication to advancing industries that shape modern experiences and innovation. Through his investments in startups like Wishlink, Magma, Produze, and more, Abhishek Sharma cements his legacy as a key player in the startup ecosystem. His contributions not only inject capital but also provide startups with the guidance and resources they need to navigate the challenges of growth and establish themselves as impactful players in their respective industries."
