Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
Name,Type,Address,Contact & Website,Startups Incubated,Notable Portfolio,Equity Taken,Fee,Funding Guarantee,Investor Access,Conf. Hall Capacity,Call Booths,Seating Scalability,Program Structure,Brand Value,Ideal Stage,Founder Freedom,Time Lock-in
Venture Catalysts (VCats),Private Accelerator & VC,"Mittal Commercia, Andheri East",venturecatalysts.in,300+ Funded,"BharatPe, Beardo, Innov8",5–10%,NIL,Yes (If selected),10,20-30,Yes,Low,90-Day Acceleration Cohort,9,Seed → Series A,6,Yes
JIIF (JITO Incubation),Angel Network + Incubator,"MIDC Marol, Andheri East",jitojiif.com,110+ Invested,"BluSmart, Fasal, ChargeGrid",3% or Deal-based,Membership,Yes (Post-pitch),9,20-30,Yes,Low,JIIF Cohorts,8,Pre-Seed → Seed,7,No
TiE Mumbai,Angel Network & Incubator,"Sahana Enclave, Bandra West",mumbai.tie.org,Hundreds Mentored,Sector Agnostic,Deal-based,Membership,No (Pitch-based),10,50+,Yes,Medium,Charter Mentorship,10,Pre-Seed → Series A,8,No
SP-TBI (Sardar Patel TBI),Academic / Govt-Backed (DST),"Bhavans Campus, Andheri West",sptbi.com,100+ Incubated,"AAS Vidyalaya, Smowcode",2-5%,Subsidized,Yes (DST Seed Fund),8,50+,Yes,Medium,Incubation & Commercialization,8,Idea → Seed,8,Yes
AIC-NMIMS,Govt-Backed (NITI Aayog),"V L Mehta Road, Vile Parle West",aic.nmims.edu,50+ Incubated,"Websites.co.in, EdTech",0–2%,NIL,Grants (Startup India),8,100+,Limited,Medium,Launchpad Program,8,Idea → Pre-Seed,7,Yes
Zone Startups India (BIL Ryerson),Institutional Accelerator,"18th Floor, BSE Building, Fort",india.zonestartups.com,414 Accelerated,"Focus on FinTech, RegTech",4–8% (Program dependent),NIL,Yes (Seed Fund Access),10,50+,Yes,Medium,Cohort-based,10,Seed → Series A,7,Yes
WebEngage Startup Program,Corporate Accelerator,Goregaon East,webengage.com,Early-stage tech,"B2B SaaS, MarTech",Credits-based,NIL,Yes (Scale Support),8,50+,Yes,Medium,6-Month Scale-up,8,Early → Seed,8,Yes
India SME Accelerator Network,Private SME Accelerator,"Workafella, SV Road, Goregaon West",indiasmeaccelerator.org,MSME Cohorts,SME & Manufacturing Tech,NIL (Fee-based),Paid (Program Fee),No (Scale-up Focus),7,50+,Yes,Medium,Owners Growth Accelerator,7,Early → Growth (MSME),9,No
AIC-RMP,Govt-Backed (NITI Aayog),Thane District / MMR,aic-rmp.org,100+ Incubated,"Agriculture, Education, ICT",Deal-based,Subsidized,Yes (Grants & Seed Fund),9,50+,Yes,Medium,Pre-Incubation to Scale-up,8,Idea → Seed,8,Yes
SPJIMR WISE Tech,B-School Accelerator,"SPJIMR Campus, Andheri West",wisetech@spjimr.org,Cohort 5 Active,Early-stage tech,NIL,NIL,Cloud Credits Only,7,100+,Yes,Medium,3-Month Cohort,9,Pre-Seed → Seed,8,Yes
thinQbate,Private Micro-VC,"Marol, Andheri East",info@thinqbate.com,29+ Investments,"HealthTech, SaaS",5–15%,NIL,Yes,7,20,Yes,Low,Conveyor Belt Model,7,Pre-Seed,9,No
DJSCE IIC,Academic (MoE Cell),Vile Parle West,djsce.ac.in,Academic Prototypes,"Healthcare, IT",NIL,NIL,No,4,100+,No,Low,Academic,5,Student / Idea,9,No
Thakur Incubation Centre,Academic (MSME Host),"Thakur Village, Kandivali East",tcetmumbai.in,Academic Prototypes,Grassroots Hardware,NIL,NIL,No,3,100+,No,High,Project-based,5,Student / Idea,9,No
SFIT IIC (St. Francis),Academic (MoE Cell),"Mt. Poinsur, Borivali West",sfit.ac.in,Student Prototypes,Embedded Systems,NIL,NIL,No,3,100+,No,Low,Hackathon/Academic,4,Student / Idea,9,No
